Img no,sp_id,cent_X,cent_Y,width,height,area,grayavg,eccentricity
1.0,445.0,142.9621451104101,518.1009463722397,19.0,17.0,317.0,34.0,0.46214378222549773
1.0,446.0,143.26898734177215,632.0,20.0,23.0,316.0,47.0,0.4543533480325817
1.0,447.0,144.13898305084746,142.96949152542373,19.0,19.0,295.0,49.0,0.4728921700310001
1.0,448.0,145.3081395348837,328.3924418604651,21.0,22.0,344.0,76.0,0.5211612693832481
1.0,449.0,143.73986486486487,348.0945945945946,19.0,18.0,296.0,51.0,0.23257995770970002
1.0,450.0,144.0,453.822629969419,19.0,21.0,327.0,33.0,0.547045678918815
1.0,451.0,143.55925925925925,486.03333333333336,19.0,17.0,270.0,36.0,0.536498698920665
1.0,452.0,143.83962264150944,606.5094339622641,19.0,23.0,318.0,64.0,0.5662081760975776
1.0,453.0,144.0790273556231,651.4042553191489,19.0,20.0,329.0,39.0,0.47253448803141523
1.0,454.0,144.0,365.0,17.0,17.0,289.0,35.0,0.0
1.0,455.0,144.0,382.0,17.0,17.0,289.0,34.0,0.0
1.0,456.0,144.0,399.0,17.0,17.0,289.0,35.0,0.0
1.0,457.0,144.0,416.0,17.0,17.0,289.0,35.0,0.0
1.0,458.0,144.0,433.94392523364485,17.0,19.0,321.0,34.0,0.4469309782953159
1.0,459.0,144.09420289855072,501.6231884057971,17.0,17.0,276.0,35.0,0.3372841006759804
1.0,460.0,144.0,535.0,17.0,17.0,289.0,35.0,0.0
1.0,461.0,144.0,552.0,17.0,17.0,289.0,36.0,0.0
1.0,462.0,144.0,569.0,17.0,17.0,289.0,36.0,0.0
1.0,463.0,144.0,586.9439252336449,17.0,19.0,321.0,35.0,0.4469309782953159
1.0,464.0,144.0,670.5,17.0,18.0,306.0,36.0,0.32917948466897967
1.0,465.0,144.0,688.0,17.0,17.0,289.0,38.0,0.0
1.0,466.0,144.0,705.0,17.0,17.0,289.0,39.0,0.0
1.0,467.0,144.0,722.0,17.0,17.0,289.0,36.0,0.0
